"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.90.119.247","17.253.108.253","NTP","90","NTP Version 4, client"
"2","0.047890","104.85.8.212","10.90.119.247","TLSv1.2","90","Application Data"
"3","0.047943","10.90.119.247","104.85.8.212","TCP","54","60769  >  443 [RST] Seq=1 Win=0 Len=0"
"4","0.636728","162.125.69.13","10.90.119.247","TLSv1.2","112","Application Data"
"5","0.636864","10.90.119.247","162.125.69.13","TCP","66","60657  >  443 [ACK] Seq=1 Ack=47 Win=2047 Len=0 TSval=648036855 TSecr=320557392"
"6","0.638002","162.125.69.19","10.90.119.247","TLSv1.2","112","Application Data"
"7","0.638042","10.90.119.247","162.125.69.19","TCP","66","60659  >  443 [ACK] Seq=1 Ack=47 Win=2047 Len=0 TSval=648036856 TSecr=2819797630"
"8","0.638043","10.90.119.247","162.125.69.13","TLSv1.2","112","Application Data"
"9","0.638096","10.90.119.247","162.125.69.13","TLSv1.2","97","Encrypted Alert"
"10","0.638837","10.90.119.247","162.125.69.19","TLSv1.2","112","Application Data"
"11","0.638837","10.90.119.247","162.125.69.19","TLSv1.2","97","Encrypted Alert"
"12","0.669683","162.125.69.13","10.90.119.247","TCP","66","443  >  60657 [ACK] Seq=47 Ack=47 Win=130 Len=0 TSval=320557516 TSecr=648036856"
"13","0.670889","162.125.69.13","10.90.119.247","TLSv1.2","97","Encrypted Alert"
"14","0.670890","162.125.69.13","10.90.119.247","TCP","66","443  >  60657 [FIN, ACK] Seq=78 Ack=79 Win=130 Len=0 TSval=320557517 TSecr=648036856"
"15","0.670969","10.90.119.247","162.125.69.13","TCP","54","60657  >  443 [RST] Seq=79 Win=0 Len=0"
"16","0.670969","10.90.119.247","162.125.69.13","TCP","54","60657  >  443 [RST] Seq=79 Win=0 Len=0"
"17","0.673029","162.125.69.19","10.90.119.247","TCP","66","443  >  60659 [ACK] Seq=47 Ack=47 Win=130 Len=0 TSval=2819797753 TSecr=648036856"
"18","0.673682","162.125.69.19","10.90.119.247","TLSv1.2","97","Encrypted Alert"
"19","0.673754","10.90.119.247","162.125.69.19","TCP","54","60659  >  443 [RST] Seq=79 Win=0 Len=0"
"20","0.673905","162.125.69.19","10.90.119.247","TCP","66","443  >  60659 [FIN, ACK] Seq=78 Ack=79 Win=130 Len=0 TSval=2819797753 TSecr=648036856"
"21","0.673938","10.90.119.247","162.125.69.19","TCP","54","60659  >  443 [RST] Seq=79 Win=0 Len=0"
"22","1.293064","10.90.119.247","151.100.4.2","DNS","95","Standard query 0x2db6 A api.apple-cloudkit.fe.apple-dns.net"
"23","1.295623","10.90.119.247","17.248.248.50","TCP","78","60815  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=648037509 TSecr=0 SACK_PERM"
"24","1.298194","151.100.4.2","10.90.119.247","DNS","223","Standard query response 0x2db6 A api.apple-cloudkit.fe.apple-dns.net A 17.248.248.69 A 17.248.248.53 A 17.248.145.101 A 17.248.145.143 A 17.248.145.145 A 17.248.145.209 A 17.248.248.12 A 17.248.145.170"
"25","1.325027","17.248.248.50","10.90.119.247","TCP","74","443  >  60815 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1092410254 TSecr=648037509 WS=128"
"26","1.325088","10.90.119.247","17.248.248.50","TCP","66","60815  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=648037538 TSecr=1092410254"
"27","1.325629","10.90.119.247","17.248.248.50","TLSv1.3","583","Client Hello"
"28","1.357205","17.248.248.50","10.90.119.247","TCP","66","443  >  60815 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=1092410284 TSecr=648037538"
"29","1.357867","17.248.248.50","10.90.119.247","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data"
"30","1.358354","17.248.248.50","10.90.119.247","TCP","1514","443  >  60815 [PSH, ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=1092410285 TSecr=648037538 [TCP segment of a reassembled PDU]"
"31","1.358409","10.90.119.247","17.248.248.50","TCP","66","60815  >  443 [ACK] Seq=518 Ack=2897 Win=129600 Len=0 TSval=648037570 TSecr=1092410285"
"32","1.358986","17.248.248.50","10.90.119.247","TCP","1266","443  >  60815 [PSH, ACK] Seq=2897 Ack=518 Win=64768 Len=1200 TSval=1092410285 TSecr=648037538 [TCP segment of a reassembled PDU]"
"33","1.358988","17.248.248.50","10.90.119.247","TLSv1.3","880","Application Data, Application Data, Application Data"
"34","1.359109","10.90.119.247","17.248.248.50","TCP","66","60815  >  443 [ACK] Seq=518 Ack=4097 Win=129856 Len=0 TSval=648037570 TSecr=1092410285"
"35","1.359109","10.90.119.247","17.248.248.50","TCP","66","60815  >  443 [ACK] Seq=518 Ack=4911 Win=129024 Len=0 TSval=648037570 TSecr=1092410285"
"36","1.365716","10.90.119.247","151.100.4.2","DNS","77","Standard query 0x885d A ocsp.digicert.com"
"37","1.373242","151.100.4.2","10.90.119.247","DNS","125","Standard query response 0x885d A ocsp.digicert.com CNAME cs9.wac.phicdn.net A 117.18.237.29"
"38","1.373928","10.90.119.247","117.18.237.29","TCP","78","60816  >  80 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=648037585 TSecr=0 SACK_PERM"
"39","1.454206","10.90.119.247","151.100.4.2","DNS","80","Standard query 0x9f11 A ocsp-a.g.aaplimg.com"
"40","1.454752","10.90.119.247","23.32.10.14","TCP","78","60817  >  80 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=648037665 TSecr=0 SACK_PERM"
"41","1.457792","151.100.4.2","10.90.119.247","DNS","112","Standard query response 0x9f11 A ocsp-a.g.aaplimg.com A 17.253.57.208 A 17.253.57.203"
